accession,GC_Content,tRNAs,Cgenes,Pgenes,CRISPR
NZ_CP077853,32.913,59,2610,64,0
NZ_CP077854,32.913,59,2608,64,0
NZ_CP077855,32.913,59,2606,68,0
NZ_CP077856,32.913,59,2607,67,0
NZ_CP077857,32.913,59,2608,66,0
NZ_CP077858,32.913,59,2608,66,0
NZ_CP077859,32.913,59,2608,66,0
NZ_CP077860,32.913,59,2607,65,0
NZ_CP077861,32.888,59,2574,97,0
NZ_CP077863,32.889,59,2562,109,0
NZ_CP077865,32.888,59,2609,104,0
NZ_CP077867,32.889,57,2571,104,0
NZ_CP077868,32.889,57,2552,82,0
NZ_CP077869,32.89,59,2553,79,0
NZ_CP077870,32.789,58,2772,82,0
NZ_CP077933,32.777,56,2748,77,0
NZ_CP077935,32.889,56,2748,77,0
NZ_CP077872,32.789,58,2798,84,0
NZ_CP077877,32.788,58,2767,73,0
NZ_CP077880,32.788,58,2803,77,0
NZ_CP077885,32.788,58,2777,79,0
NZ_CP077888,32.835,59,2581,65,0
NZ_CP077889,32.835,59,2628,107,0
NZ_CP077893,32.835,59,2580,65,0
NZ_CP077894,32.89,59,2668,106,0
NZ_CP077897,32.957,59,2604,75,0
NZ_CP077898,32.957,59,2605,74,0
NZ_CP077899,32.918,59,2867,167,0
NZ_CP077908,32.958,59,2663,93,0
NZ_CP077936,32.824,56,2780,143,0
NZ_CP077911,32.816,56,2748,139,0
NZ_CP077915,32.869,59,2547,70,0
NZ_CP077916,32.894,56,2558,66,0
NZ_CP077917,32.894,56,2563,66,0
NZ_CP077919,32.869,59,2591,91,0
NZ_CP077920,32.896,59,2558,69,0
NZ_CP077921,32.87,59,2544,69,0
NZ_CP077922,32.96,59,2523,75,0
NZ_CP077923,32.96,59,2519,80,0
NZ_CP077924,32.96,59,2517,79,0
NZ_CP077925,32.964,59,2584,69,0
NZ_CP077926,32.964,59,2593,90,0
NZ_CP077928,32.964,59,2666,87,0
NZ_CP077931,32.964,59,2577,81,0
NZ_CP077932,32.964,59,2579,72,0
NZ_CP084878,32.86,59,2455,84,0
NZ_AP024203,32.95,59,2680,97,0
NZ_AP025176,32.813,59,2662,87,0
NZ_AP025177,32.85,58,2637,87,0
NZ_CP084107,32.872,59,2593,68,0
NZ_CP084892,32.967,60,2707,97,0
NZ_CP087593,32.915,59,2789,64,0
NZ_CP089156,32.859,58,2654,105,0
NZ_CP089154,32.994,59,2585,82,0
NZ_CP089157,32.804,56,2517,108,0
NZ_CP089159,32.814,59,2816,89,0
NZ_CP089161,32.826,60,2578,74,0
NZ_CP089162,32.796,58,2752,90,0
NZ_CP089165,32.934,59,2644,84,0
NZ_CP089586,32.901,59,2666,76,0
NZ_CP090001,32.856,59,2584,51,0
NZ_CP090870,32.895,59,2631,74,0
NZ_CP090873,32.894,59,2633,73,0
NZ_CP090879,32.913,58,2655,83,0
NZ_CP090877,32.934,59,2658,68,0
NZ_CP090876,32.859,60,2540,69,0
NZ_CP068682,32.902,59,2551,79,0
NZ_CP091412,32.939,58,2630,83,0
NZ_CP086215,32.906,59,2714,80,0
NZ_CP091875,32.868,59,2735,104,0
NZ_CP091876,32.812,59,2645,63,0
NZ_CP080222,32.931,58,2706,91,0
NZ_CP080249,32.862,60,2809,101,0
NZ_CP080251,32.865,59,2662,66,0
NZ_CP092055,32.944,57,2503,74,0
NZ_CP092052,32.811,59,2699,67,0
NZ_CP062312,32.824,57,2672,70,0
NZ_CP062314,32.796,59,2749,82,0
NZ_CP062318,32.815,58,2609,72,0
NZ_CP092447,32.905,59,2504,96,0
NZ_CP062320,32.829,59,2706,81,0
NZ_CP062322,32.882,58,2652,71,0
NZ_CP062324,32.808,59,2760,84,0
NZ_CP062326,32.938,59,2595,73,0
NZ_CP062329,32.864,59,2555,63,0
NZ_CP062331,32.81,59,2698,74,0
NZ_CP062334,32.894,58,2648,75,0
NZ_CP062336,32.888,59,2573,68,0
NZ_CP062338,32.854,58,2571,66,0
NZ_CP062340,32.874,58,2643,72,0
NZ_CP062342,32.879,57,2647,77,0
NZ_CP062344,32.835,59,2666,71,0
NZ_CP062346,32.877,59,2665,117,0
NZ_CP062348,32.922,59,2770,69,0
NZ_CP062350,32.816,58,2579,91,0
NZ_CP062352,32.886,59,2586,66,0
NZ_CP062354,32.84,58,2591,74,0
NZ_CP062356,32.886,59,2585,66,0
NZ_CP062358,32.862,59,2588,69,0
NZ_CP062360,32.841,56,2577,122,0
NZ_CP062362,32.849,59,2606,61,0
NZ_CP062364,32.869,59,2530,75,0
NZ_CP062366,32.805,59,2824,95,0
NZ_CP062368,32.862,59,2588,69,0
NZ_CP062370,32.863,59,2595,71,0
NZ_CP062372,32.865,59,2540,62,0
NZ_CP062376,32.873,60,2580,59,0
NZ_CP062378,32.916,59,2663,63,0
NZ_CP062380,32.849,59,2675,120,0
NZ_CP062382,32.846,59,2768,120,0
NZ_CP062384,32.932,59,2561,76,0
NZ_CP062386,32.838,59,2582,61,0
NZ_CP062388,32.871,59,2602,66,0
NZ_CP062390,32.859,58,2712,76,0
NZ_CP062393,32.848,59,2679,68,0
NZ_CP062395,32.827,59,2611,114,0
NZ_CP062398,32.893,59,2536,60,0
NZ_CP062399,32.817,59,2611,76,0
NZ_CP062400,32.867,59,2579,85,0
NZ_CP062401,32.87,59,2645,68,0
NZ_CP062402,32.832,59,2515,58,0
NZ_CP062403,32.845,58,2569,66,0
NZ_CP062404,32.811,58,2596,104,0
NZ_CP062405,32.822,58,2656,109,0
NZ_CP062406,32.889,59,2537,64,0
NZ_CP062407,32.834,59,2594,98,0
NZ_CP062408,32.845,59,2662,80,0
NZ_CP062409,32.885,59,2568,65,0
NZ_CP062410,32.9,59,2624,68,0
NZ_CP062411,32.907,59,2627,66,0
NZ_CP062412,32.84,58,2580,59,0
NZ_CP062413,32.884,59,2627,64,0
NZ_CP062414,32.845,59,2578,61,0
NZ_CP062415,32.853,58,2732,103,0
NZ_CP062416,32.843,59,2576,61,0
NZ_CP062417,32.879,59,2571,62,0
NZ_CP062418,32.865,59,2573,80,0
NZ_CP062419,32.838,59,2573,60,0
NZ_CP062420,32.867,59,2583,80,0
NZ_CP062421,32.841,58,2560,69,0
NZ_CP060141,32.804,58,2708,158,0
NZ_CP063745,32.941,59,2513,72,0
NZ_CP062439,32.812,59,2684,72,0
NZ_CP088157,32.898,59,2718,69,0
NZ_CP088158,32.914,59,2588,81,0
NZ_CP092825,32.876,58,2613,85,0
NZ_CP093527,32.914,59,2588,81,0
NZ_CP092556,32.918,59,2764,91,0
NZ_CP092558,32.875,59,2742,109,0
NZ_CP092561,32.871,59,2670,83,0
NZ_CP092563,32.867,59,2677,78,0
NZ_CP092565,32.869,59,2684,78,0
NZ_CP092567,32.883,59,2712,105,0
NZ_CP092538,32.915,59,2768,87,0
NZ_CP092540,32.912,59,2730,120,0
NZ_CP092542,32.938,59,2729,91,0
NZ_CP092581,32.935,59,2720,110,0
NZ_CP092544,32.868,59,2742,105,0
NZ_CP092547,32.867,59,2740,119,0
NZ_CP092550,32.914,59,2769,89,0
NZ_CP092552,32.918,59,2734,108,0
NZ_CP092554,32.916,60,2756,98,0
NZ_CP093930,32.913,59,2783,74,0
NZ_CP093935,32.906,59,2784,72,0
NZ_CP093933,32.908,59,2739,79,0
NZ_CP094443,32.91,59,2810,90,0
NZ_CP094855,32.835,59,2865,109,0
NZ_CP094857,32.917,59,2660,63,0
NZ_CP094853,32.821,59,2791,120,0
NZ_CP064365,32.859,59,2629,56,0
NZ_CP064389,32.891,59,2851,102,0
NZ_CP078521,32.916,57,2662,64,0
NZ_CP064772,32.88,59,2670,82,0
NZ_AP025683,32.89,59,2611,85,0
NZ_AP025693,32.785,59,2797,80,0
NZ_CP092475,32.795,59,2670,84,0
NZ_CP059180,32.839,59,2523,50,0
NZ_CP091523,32.831,59,2652,69,0
NZ_CP097571,32.988,59,2608,79,0
NZ_LN854556,32.848,61,2599,68,0
NZ_LT009690,32.804,60,2702,82,0
NZ_LT598688,32.888,59,2796,59,0
NZ_LT615218,32.893,59,2615,83,0
NZ_LT671859,32.816,59,2657,72,0
NZ_LT996891,32.884,59,2558,64,0
NZ_LT992434,32.921,59,2552,69,0
NZ_LT992436,32.921,59,2552,69,0
NZ_LT992435,32.921,59,2552,70,0
NZ_LT996889,32.884,59,2559,64,0
NZ_LT996890,32.884,59,2559,65,0
NZ_LT992456,32.939,59,2677,121,0
NZ_LT992464,33.009,59,2710,103,0
NZ_LT992458,33.008,68,2676,101,0
NZ_LT992462,33.015,59,2826,99,0
NZ_LT992461,32.986,59,2723,100,0
NZ_LT992463,32.98,59,2656,98,0
NZ_LT992460,32.98,59,2688,146,0
NZ_LT992465,32.954,59,2642,111,0
NZ_LT992466,32.956,59,2572,94,0
NZ_LT992467,32.972,59,2676,99,0
NZ_LT992470,32.969,59,2659,103,0
NZ_LT992468,32.977,59,2759,111,0
NZ_LT992473,32.959,59,2653,123,0
NZ_LT992469,32.988,59,2708,98,0
NZ_LT992471,33.004,59,2745,107,0
NZ_LT992472,32.934,59,2596,92,0
NZ_LT992474,32.99,65,2665,92,0
NZ_LT992475,33.003,59,2728,105,0
NZ_LT992476,33.002,59,2720,108,0
NZ_LT992477,32.984,59,2686,107,0
NZ_LS483301,32.842,58,2782,104,0
NZ_LS483300,32.772,58,2448,152,0
NZ_LS483308,32.873,58,2599,61,0
NZ_LS483302,32.98,58,2543,89,0
NZ_LS483309,32.913,60,2754,134,0
NZ_LS483310,32.877,58,2552,91,0
NZ_LS483314,32.891,59,2588,86,0
NZ_LS483317,32.873,58,2628,74,0
NZ_LS483311,32.887,59,2737,67,0
NZ_LS483319,32.903,59,2829,85,0
NZ_LS483316,32.89,60,2685,105,0
NZ_LS483324,32.838,59,2661,88,0
NZ_LS483350,32.864,60,2646,72,0
NZ_LS483484,32.807,59,2687,116,0
NZ_LR027876,32.874,59,2772,99,0
NZ_LR027870,32.842,57,2732,107,0
NZ_LR027878,32.787,60,2934,100,0
NZ_LR027873,32.892,60,2743,94,0
NZ_LR027877,32.89,57,2764,100,0
NZ_LR027869,32.915,60,2834,111,0
NZ_LR027874,32.733,60,2865,92,0
NZ_LR130509,32.823,59,2546,62,0
NZ_LR130511,32.876,59,2598,67,0
NZ_LR130513,32.841,59,2643,82,0
NZ_LR130515,32.797,60,2930,104,0
NZ_LR130518,32.824,59,2800,86,0
NZ_LR133917,32.837,59,2566,81,0
NZ_LR134086,32.825,62,2616,135,0
NZ_LR134085,32.803,59,2690,80,0
NZ_LR134087,32.837,59,2662,96,0
NZ_LR134091,32.856,58,2573,81,0
NZ_LR134090,32.942,59,2678,79,0
NZ_LR134093,32.804,58,2625,105,0
NZ_LR134139,32.863,59,2585,85,0
NZ_LR134193,32.834,59,2635,104,0
NZ_LR134271,32.934,59,2695,76,0
NZ_LR134305,32.904,58,2639,92,0
NZ_LR134351,32.887,58,2781,125,0
NZ_LR822060,32.931,59,2856,93,0
NZ_LR822061,32.933,59,2857,93,0
NZ_CP016760,34.558,61,2434,145,0
NZ_CP065711,34.66,61,2410,41,0
NZ_CP068079,34.585,60,2543,83,0
NZ_CP069582,34.581,60,2498,83,0
NZ_CP080458,34.66,61,2404,44,0
NZ_CP009046,32.12,60,2252,101,0
NZ_CP020463,32.274,61,2217,59,0
NZ_CP022247,32.143,61,2323,79,0
NZ_CP013943,32.091,61,2512,68,0
NZ_CP014119,32.247,61,2264,70,1
NZ_CP014132,32.176,61,2233,64,0
NZ_CP030246,32.214,61,2286,56,0
NZ_CP033782,32.269,61,2314,78,0
NZ_CP034111,32.275,63,2306,71,0
NZ_CP034115,32.176,61,2307,75,0
NZ_CP035288,32.246,61,2231,53,0
NZ_AP019721,32.292,61,2172,51,0
NZ_CP045648,31.997,61,2542,79,0
NZ_CP043841,32.183,61,2178,76,0
NZ_CP043847,32.135,61,2281,96,0
NZ_CP043845,32.128,61,2242,71,0
NZ_CP035643,32.187,61,2172,74,0
NZ_CP040883,32.112,61,2268,57,0
NZ_CP060528,32.223,61,2272,42,0
NZ_CP060794,32.269,61,2312,70,0
NZ_CP061029,32.257,61,2254,85,0
NZ_CP065656,32.127,61,2341,92,0
NZ_CP066303,32.149,61,2025,41,0
NZ_CP066376,32.194,61,2334,86,0
NZ_CP068136,32.199,61,2222,63,0
NZ_CP069215,32.251,61,2318,64,0
NZ_CP069219,32.264,61,2296,76,0
NZ_CP069473,32.246,61,2300,63,0
NZ_CP069951,32.246,61,2275,62,0
NZ_CP069954,32.264,61,2187,64,0
NZ_CP070057,32.218,61,2254,64,0
NZ_CP073824,31.94,61,2525,79,0
NZ_CP073821,31.94,61,2525,83,0
NZ_CP073827,31.94,61,2525,84,0
NZ_CP073830,31.939,61,2515,83,0
NZ_CP073835,31.983,61,2598,77,0
NZ_CP073836,31.944,61,2521,79,0
NZ_CP073840,31.94,61,2510,80,0
NZ_CP073841,31.94,61,2534,79,0
NZ_CP073844,31.94,61,2526,80,0
NZ_CP073847,31.929,61,2520,78,0
NZ_CP073850,31.94,61,2520,78,0
NZ_CP073852,31.971,61,2454,66,0
NZ_CP073855,31.94,61,2545,80,0
NZ_CP073857,31.986,61,2637,83,0
NZ_CP073859,31.94,61,2522,77,0
NZ_CP073862,31.94,61,2515,79,0
NZ_CP073863,31.94,61,2506,82,0
NZ_CP073865,31.979,61,2558,124,0
NZ_CP073869,31.938,61,2515,81,0
NZ_CP073872,31.94,61,2526,78,0
NZ_CP073876,31.938,61,2510,79,0
NZ_CP073881,31.94,61,2525,81,0
NZ_CP073883,31.942,61,2545,82,0
NZ_CP073887,31.94,61,2528,79,0
NZ_CP073890,31.94,61,2565,80,0
NZ_CP073893,31.94,61,2521,81,0
NZ_CP073895,31.939,61,2542,78,0
NZ_CP073898,31.94,61,2509,80,0
NZ_CP073900,31.94,61,2519,79,0
NZ_CP073904,31.94,61,2552,80,0
NZ_CP073878,31.94,61,2544,79,0
NZ_CP084008,32.228,61,2253,62,0
NZ_CP071988,32.238,61,2213,66,0
NZ_CP071992,32.197,60,2340,74,0
NZ_CP071994,32.252,61,2236,67,0
NZ_CP090575,32.232,61,2185,51,0
NZ_CP090912,32.256,61,2149,57,0
NZ_CP090915,32.208,60,2369,90,0
NZ_CP090922,32.183,61,2199,57,0
NZ_CP091006,32.236,61,2342,86,0
NZ_CP090989,32.191,61,2287,57,0
NZ_CP090985,32.287,63,2240,79,0
NZ_CP090998,32.263,60,2202,64,0
NZ_CP090993,32.258,61,2277,84,0
NZ_CP093222,32.117,61,2304,71,0
NZ_CP094859,32.205,61,2266,75,0
NZ_CP094865,32.204,61,2273,66,0
NZ_CP094872,32.203,61,2264,74,0
NZ_CP064359,32.127,61,2318,64,0
NZ_CP095090,32.341,61,2297,65,0
NZ_CP097512,32.026,61,2348,90,0
NZ_CP097514,32.018,61,2368,95,0
NZ_CP097519,32.185,61,2217,86,0
NZ_LT571449,32.027,61,2646,79,0
NZ_LR134536,31.986,61,2557,81,0
NZ_LR735421,32.134,62,2269,71,0
NZ_LR735429,32.116,61,2261,76,1
NZ_LR735434,32.062,62,2327,61,0
NZ_LR735437,32.278,59,2333,68,2
NZ_LR735432,32.155,61,2370,75,1
NZ_LR735440,32.26,61,2327,61,0
NZ_CP013911,32.848,60,2384,62,0
NZ_CP024809,32.817,61,2389,75,0
NZ_CP025396,32.822,61,2396,76,0
NZ_CP025031,32.84,60,2456,94,0
NZ_CP045187,32.769,62,2458,138,0
NZ_CP033814,32.838,61,2430,121,0
NZ_CP035541,32.82,65,2482,139,0
NZ_CP035291,32.928,62,2360,57,0
NZ_CP045137,32.759,62,2489,162,0
NZ_CP084235,32.802,58,2217,74,0
NZ_CP084229,32.805,61,2212,72,0
NZ_CP049091,32.804,59,2214,71,0
NZ_CP063443,33.777,61,2561,67,1
NZ_CP071508,32.791,62,2230,90,0
NZ_CP071512,32.794,62,2218,90,0
NZ_CP071505,32.795,63,2209,83,0
NZ_CP077270,32.901,62,2356,59,0
NZ_CP078159,32.788,62,2421,84,0
NZ_CP090475,32.831,61,2348,67,0
NZ_CP008747,35.578,58,2296,14,1
NZ_LS483304,35.578,58,2296,14,1
NZ_CP014016,35.95,60,2421,33,1
NZ_CP023497,35.966,63,2618,64,2
NZ_CP017428,36.058,63,2634,58,2
NZ_CP017430,36.062,63,2640,61,2
NZ_CP016157,36.048,63,2633,57,2
NZ_CP015642,36.066,63,2613,62,2
NZ_LS483313,35.965,62,2554,36,1
NZ_LR134264,36.191,61,2470,28,1
NZ_CP007208,32.767,55,2623,58,0
NZ_CP008724,32.876,59,2496,9,0
NZ_LN554884,32.899,59,2565,33,0
NZ_CP013922,32.974,59,2688,17,0
NZ_CP031275,32.857,59,2609,14,0
NZ_CP060271,32.814,59,2611,23,0
NZ_CP066719,32.879,59,2531,23,0
NZ_CP066721,32.816,59,2753,38,0
NZ_CP066726,32.938,60,2728,31,0
NZ_CP033732,31.65,62,2142,35,0
NZ_CP031277,31.628,62,2143,60,0
NZ_CP046301,31.588,62,2118,44,0
NZ_CP046306,31.661,62,2257,48,0
NZ_CP054006,31.607,65,2123,47,0
NZ_CP040732,31.529,63,2111,43,0
NZ_CP093539,31.529,62,2351,50,0
NZ_CP032159,32.852,63,2403,30,2
NZ_CP033098,32.727,63,2449,39,0
NZ_CP038242,32.796,63,2387,35,0
NZ_CP053477,32.659,61,2389,39,2
NZ_CP054017,32.822,64,2280,52,0
NZ_CP061041,32.873,63,2407,57,2
NZ_CP049802,32.698,63,2330,29,0
NZ_LR134242,32.83,63,2235,23,2
NZ_LR134244,32.839,63,2265,42,0
NZ_LR134269,32.834,63,2240,60,0
NZ_CP027848,37.392,57,1981,14,1
NZ_LT906464,37.391,57,1976,17,1
NZ_CP009470,35.946,58,2185,41,1
NZ_CP009676,35.94,58,2316,40,1
NZ_CP009762,35.998,57,2169,34,1
NZ_CP010309,35.845,57,2361,50,1
NZ_AP014944,35.853,57,2307,38,2
NZ_CP035007,35.923,58,2336,47,1
NZ_LR962863,36.028,58,2212,152,0
NZ_CP022046,32.622,58,2744,18,0
NZ_CP048732,32.681,62,2852,31,0
NZ_CP065792,32.521,57,2716,29,0
NZ_CP065795,32.527,57,2721,55,0
NZ_CP065960,32.664,58,2751,48,0
NZ_CP067416,32.559,58,2670,16,0
NZ_CP069389,32.644,58,2885,60,0
NZ_CP071138,32.492,60,2901,23,0
NZ_CP077960,32.567,58,3045,48,0
NZ_CP086125,32.492,60,2904,23,0
NZ_CP086126,32.492,60,2902,23,0
NZ_CP064868,32.609,58,2998,40,1
NZ_LS483305,32.68,58,2695,18,0
NZ_CP031500,67.07,50,3119,29,0
NZ_CP050116,67.062,50,3107,81,0
NZ_CP050120,67.06,50,3076,131,0
NZ_OV024757,67.073,50,3096,85,0
NZ_CP017295,40.493,58,2034,27,1
NZ_CP012648,40.579,82,2132,31,0
NZ_CP020450,40.416,59,2065,36,0
NZ_CP023511,40.684,60,1967,38,0
NZ_CP046328,40.507,59,2018,36,1
NZ_CP077224,40.593,59,2013,37,1
NZ_CP077248,40.504,59,2011,41,0
NZ_LS483341,40.593,59,2008,45,1
NZ_LS483375,40.504,59,2007,43,0
NZ_LR134291,40.507,59,2018,34,1
NZ_LR594041,40.371,59,2017,69,1
NZ_LR594049,40.555,59,1995,42,1
NZ_CP019562,40.979,59,1812,42,2
NZ_CP023507,40.94,62,1904,27,1
NZ_CP065706,41.302,62,1759,45,1
NZ_CP065707,41.045,61,1906,44,3
NZ_CP066021,41.509,60,1779,16,1
NZ_CP066041,41.414,61,1818,21,1
NZ_CP066059,41.295,61,1771,31,3
NZ_CP066172,41.494,61,1823,23,2
NZ_CP069427,41.494,80,1819,38,2
NZ_CP069428,42.346,80,1819,38,2
NZ_CP079724,41.311,62,1763,34,1
NZ_CP046523,41.192,61,1850,46,1
NZ_CP046524,41.05,61,1816,44,0
NZ_CP094226,41.472,61,1715,37,2
NZ_CP097843,40.951,61,1951,44,2
NZ_CP013216,40.22,68,1846,40,0
NZ_CP009913,40.147,68,1930,54,0
NZ_CP014144,40.185,92,1921,53,0
NZ_CP020451,40.136,68,2004,53,0
NZ_CP015282,40.244,68,1838,39,0
NZ_CP015283,39.881,68,2028,69,1
NZ_CP040804,40.108,75,2123,85,1
NZ_CP018186,39.832,68,1931,55,1
NZ_CP018187,39.945,68,2134,74,0
NZ_CP018189,39.831,68,1918,63,1
NZ_CP053998,40.147,68,1833,18,0
NZ_CP054153,40.2,68,2055,36,0
NZ_CP066093,39.583,58,2050,68,0
NZ_CP090007,40.3,68,1974,45,1
NZ_LS483366,39.947,68,1927,52,1
NZ_LR134274,40.133,68,1951,38,0
NZ_CP054570,43.321,60,2195,46,1
NZ_CP040798,42.951,60,2153,135,1
NZ_LS483346,42.956,60,2293,32,0
NZ_LS483364,43.389,60,2170,32,1
NZ_LS483385,43.324,59,2138,40,0
NZ_LR134002,43.31,61,2194,40,1
NZ_CP007497,41.108,56,1919,53,0
NZ_CP011419,41.09,56,2136,67,1
NZ_CP012911,41.131,57,2160,96,1
NZ_CP012731,41.087,56,1998,64,1
NZ_CP015557,41.321,56,1957,58,0
NZ_CP017142,41.337,55,1960,52,0
NZ_CP018908,41.102,47,1925,47,0
NZ_CP020863,41.107,56,1917,54,0
NZ_CP016175,41.226,56,1891,54,0
NZ_CP017088,41.163,56,1876,61,0
NZ_CP024050,41.2,56,1944,66,0
NZ_CP024126,41.146,58,2105,76,1
NZ_CP024974,41.19,56,2308,136,0
NZ_CP025043,41.532,57,2155,65,0
NZ_CP029398,41.402,56,2032,55,0
NZ_CP017666,41.478,56,1886,52,1
NZ_CP017667,41.463,57,2008,40,1
NZ_CP025419,41.167,59,2124,68,1
NZ_CP030125,41.412,56,2060,46,0
NZ_CP030124,41.007,58,2017,84,0
NZ_CP039462,41.388,56,2074,52,0
NZ_CP041994,41.277,58,1949,58,1
NZ_CP030017,41.21,56,1895,54,0
NZ_CP030020,41.143,57,2088,92,1
NZ_CP030022,41.216,56,1876,54,0
NZ_CP030023,41.079,56,2069,73,1
NZ_CP031377,41.242,56,2051,66,1
NZ_CP031379,41.11,56,2024,66,1
NZ_AP023391,41.344,56,1975,45,1
NZ_AP023392,41.105,56,2150,51,1
NZ_CP058740,41.112,56,1949,94,0
NZ_CP058741,41.062,57,1999,87,2
NZ_CP058742,41.308,56,1886,47,0
NZ_CP047248,41.194,56,1959,53,0
NZ_CP065430,41.254,58,2228,107,0
NZ_CP065431,41.041,56,1959,69,0
NZ_CP068708,41.388,56,1936,44,0
NZ_CP082778,41.379,56,1941,42,0
NZ_CP071305,41.016,56,2119,120,1
NZ_CP071697,41.42,58,2212,67,0
NZ_CP076517,41.353,56,1989,44,0
NZ_CP079193,41.382,56,1939,43,0
NZ_CP082202,41.42,57,2076,29,2
NZ_CP082203,41.483,56,2013,28,1
NZ_CP082198,41.237,56,1893,54,0
NZ_CP082199,41.261,56,1888,54,0
NZ_CP082197,41.23,56,1885,51,0
NZ_CP082200,41.24,56,1887,59,0
NZ_CP082201,41.232,56,1895,51,0
NZ_CP082948,41.208,56,1946,63,0
NZ_CP071806,40.844,58,2194,106,0
NZ_CP085085,41.148,56,2003,66,1
NZ_CP085086,41.381,56,1912,73,0
NZ_CP085087,41.315,56,1929,87,0
NZ_CP085088,41.439,56,1791,56,0
NZ_CP091423,41.13,56,1965,65,0
NZ_CP091422,41.224,56,1898,53,0
NZ_CP031970,39.343,56,1911,100,1
NZ_CP095162,40.877,57,2196,84,1
NZ_CP095463,41.297,56,1912,44,0
NZ_LS483418,41.401,56,1798,49,0
NZ_LR594043,41.409,56,1908,109,0
NZ_LR738722,41.092,56,1949,60,0
NZ_LR738721,41.308,56,1885,46,0
NZ_LR738723,41.191,57,2100,86,0
NZ_LR738724,41.426,56,1996,34,1
NZ_LR738720,41.234,56,1941,64,0
NZ_CP011217,39.074,67,1608,233,2
NZ_CP010999,39.042,57,1611,234,3
NZ_CP012588,39.105,67,1586,274,2
NZ_CP013939,39.099,67,1552,228,1
NZ_CP016026,39.082,67,1597,233,3
NZ_CP016439,39.044,57,1566,234,1
NZ_CP016877,38.925,68,1646,241,3
NZ_CP016394,39.019,57,1621,248,4
NZ_CP019935,39.081,67,1612,225,2
NZ_CP017064,39.048,68,1599,239,3
NZ_CP022547,39.147,67,1567,238,2
NZ_CP025216,39.046,55,1601,233,3
NZ_CP025399,39.118,68,1596,232,3
NZ_CP025400,39.046,67,1566,248,1
NZ_CP031545,39.184,67,1523,249,2
NZ_CP031881,39.283,67,1636,251,2
NZ_CP035306,39.194,67,1573,202,2
NZ_CP047191,38.937,67,1683,239,3
NZ_CP038020,39.019,56,1879,250,2
NZ_CP049053,39.034,67,1577,242,3
NZ_CP028896,39.077,67,1605,236,3
NZ_CP030927,38.918,64,1629,231,3
NZ_CP030928,39.076,67,1632,211,3
NZ_CP045596,39.069,67,1733,253,1
NZ_CP061019,39.003,67,1624,226,3
NZ_CP061020,38.947,57,1649,248,3
NZ_CP061021,39.051,67,1696,245,2
NZ_CP061022,38.981,66,1641,251,3
NZ_CP061023,38.982,67,1642,247,3
NZ_CP061024,39.005,66,1640,220,3
NZ_CP061025,39.057,67,1650,242,2
NZ_CP046134,39.003,67,1656,227,3
NZ_CP063275,38.989,67,1645,221,2
NZ_CP065477,39.082,67,1617,218,2
NZ_CP030250,38.897,44,1693,255,4
NZ_CP050870,39.077,67,1633,207,3
NZ_CP094945,39.055,57,1608,230,2
NZ_LT604076,39.213,56,1503,215,0
NZ_LS483339,39.019,56,1873,255,2
NZ_LS974444,39.055,67,1595,229,3
NZ_LR822006,39.033,67,1559,234,1
NZ_LR822008,39.091,67,1624,225,2
NZ_LR822009,39.028,57,1604,232,2
NZ_LR822011,39.041,57,1561,222,2
NZ_LR822010,39.053,67,1555,235,1
NZ_LR822012,39.135,67,1545,240,1
NZ_LR822013,39.091,67,1629,222,2
NZ_LR822014,39.096,57,1543,223,2
NZ_LR822015,39.134,67,1535,226,2
NZ_LR822017,39.061,68,1629,244,3
NZ_LR822020,38.717,59,1763,230,3
NZ_LR822019,39.187,67,1551,222,3
NZ_LR822023,38.811,69,1769,255,4
NZ_LR822025,38.89,59,1729,267,2
NZ_LR822026,38.894,59,1729,267,2
NZ_LR822027,38.874,68,1730,239,3
NZ_LR822030,39.035,57,1639,244,2
NZ_LR822029,39.121,67,1588,229,2
NZ_LR822031,38.96,57,1587,217,2
NZ_LR822033,39.031,57,1661,211,2
NZ_LR822034,39.031,57,1660,210,2
NZ_LR822032,38.955,68,1607,231,4
NZ_LR822035,39.088,67,1611,231,2
NZ_LR822036,39.081,67,1611,218,2
NZ_LR822039,39.064,67,1571,231,1
NZ_LR822037,39.192,67,1547,228,3
NZ_LR822041,39.043,67,1561,230,1
NZ_LR822040,39.163,67,1502,242,2
NZ_LR822042,39.121,67,1581,217,2
NZ_LR822043,39.122,67,1538,222,1
NZ_LR824002,39.126,57,1540,220,2
NZ_CP013237,36.895,65,1817,50,1
NZ_CP023477,36.958,65,1925,67,1
NZ_AP019720,36.869,65,1862,62,1
NZ_CP044493,36.893,65,1817,100,3
NZ_CP044492,37.042,63,1784,70,1
NZ_CP044495,37.042,65,1844,81,1
NZ_CP044221,36.861,65,1869,52,1
NZ_CP050270,36.866,65,1915,65,0
NZ_CP050271,36.859,65,1902,71,0
NZ_CP050272,36.868,65,1908,70,0
NZ_CP050273,36.866,65,1905,70,0
NZ_CP066294,37.029,65,1802,53,0
NZ_CP077404,36.872,65,1865,57,1
NZ_LS483349,36.872,65,1863,61,1
NZ_LR134320,36.918,65,1820,61,2
NZ_CP029491,43.602,67,1891,97,0
NZ_CP029490,43.507,67,1950,100,0
NZ_CP029560,43.661,63,1886,87,1
NZ_CP029559,43.66,63,1887,88,1
