accession,domain,species,CN,range,average,range_no_cross,average_no_cross,range_normalized,average_normalized
NC_017635,Bacteria,Escherichia coli W,7,0.454,0.075666667,0.8666,0.144433333,0.529666667,0.529666667
NZ_CP024289,Bacteria,Escherichia coli O178:H19 strain 2012C-4431,7,0.454,0.075666667,0.8426,0.140433333,0.529666667,0.529666667
NZ_CP024232,Bacteria,Escherichia coli O6:H16 strain 2014EL-1346-6,7,0.454,0.075666667,0.454,0.075666667,0.529666667,0.529666667
NZ_CP066089,Bacteria,Citrobacter koseri strain FDAARGOS_1029,7,0.454,0.075666667,0.454,0.075666667,0.529666667,0.529666667
NC_009792,Bacteria,Citrobacter koseri ATCC BAA-895,7,0.454,0.075666667,0.8964,0.1494,0.529666667,0.529666667
NZ_CP094987,Bacteria,Shigella flexneri strain 3160_NCHU22,7,0.454,0.075666667,0.8834,0.147233333,0.529666667,0.529666667
NZ_CP010230,Bacteria,Escherichia coli strain S21,7,0.454,0.075666667,0.454,0.075666667,0.529666667,0.529666667
NZ_CP048304,Bacteria,Escherichia coli strain 9,7,0.4541,0.075683333,0.8748,0.1458,0.529783333,0.529783333
NZ_CP009789,Bacteria,Escherichia coli K-12 strain K-12 ER3413,7,0.4541,0.075683333,0.8675,0.144583333,0.529783333,0.529783333
NZ_CP009644,Bacteria,Escherichia coli ER2796 strain K-12 ER2796,7,0.4541,0.075683333,0.8675,0.144583333,0.529783333,0.529783333
NZ_AP021896,Bacteria,Escherichia coli strain 2018-02-2CC,7,0.4541,0.075683333,0.4541,0.075683333,0.529783333,0.529783333
NZ_CP017671,Bacteria,Providencia rettgeri strain RB151,7,0.4541,0.075683333,0.9458,0.157633333,0.529783333,0.529783333
NZ_CP084642,Bacteria,Yersinia ruckeri strain 17Y0161,7,0.4542,0.0757,0.914,0.152333333,0.5299,0.5299
NZ_CP035860,Bacteria,Escherichia coli strain TD225-C4,7,0.4542,0.0757,0.8917,0.148616667,0.5299,0.5299
NZ_CP048439,Bacteria,Escherichia coli strain NBRC 3301,7,0.4542,0.0757,0.8906,0.148433333,0.5299,0.5299
NZ_CP050044,Bacteria,Escherichia coli strain 74-2,7,0.4542,0.0757,0.8884,0.148066667,0.5299,0.5299
NZ_LR878365,Bacteria,Shigella flexneri 3a isolate 83,7,0.4542,0.0757,0.8807,0.146783333,0.5299,0.5299
NC_017664,Bacteria,Escherichia coli W,7,0.4542,0.0757,0.8666,0.144433333,0.5299,0.5299
NZ_CP017220,Bacteria,Escherichia coli strain FAM21845,7,0.4542,0.0757,0.8517,0.14195,0.5299,0.5299
NZ_CP025979,Bacteria,Escherichia marmotae strain HT073016,7,0.4542,0.0757,0.4542,0.0757,0.5299,0.5299
NZ_CP068805,Bacteria,Escherichia coli strain RIVM_C018567,7,0.4542,0.0757,0.8868,0.1478,0.5299,0.5299
NZ_CP024240,Bacteria,Escherichia coli O114:H49 strain 90-9280,7,0.4542,0.0757,0.4542,0.0757,0.5299,0.5299
NZ_CP027134,Bacteria,Escherichia coli strain AR_0372,7,0.4543,0.075716667,0.9817,0.163616667,0.530016667,0.530016667
NZ_CP096976,Bacteria,Escherichia coli strain 17-07187,7,0.4543,0.075716667,0.9811,0.163516667,0.530016667,0.530016667
NZ_LR778150,Bacteria,Escherichia coli isolate SC492,7,0.4544,0.075733333,0.9803,0.163383333,0.530133333,0.530133333
NZ_AP021891,Bacteria,Escherichia coli strain 2017.01.04CC,7,0.4544,0.075733333,0.8881,0.148016667,0.530133333,0.530133333
NZ_LR134240,Bacteria,Escherichia coli strain NCTC9107,7,0.4544,0.075733333,0.8817,0.14695,0.530133333,0.530133333
NZ_CP073589,Bacteria,Escherichia coli strain MFDS1006657,7,0.4544,0.075733333,0.4544,0.075733333,0.530133333,0.530133333
NZ_CP030778,Bacteria,Escherichia albertii strain 05-3106,7,0.4544,0.075733333,0.4544,0.075733333,0.530133333,0.530133333
NZ_CP027584,Bacteria,Escherichia coli strain 00-3076,7,0.4544,0.075733333,0.4544,0.075733333,0.530133333,0.530133333
NZ_CP035884,Bacteria,Escherichia coli strain LSN03-016011/A,7,0.4544,0.075733333,0.4544,0.075733333,0.530133333,0.530133333
NZ_CP082775,Bacteria,Escherichia coli O25:H4 strain CU568-3,7,0.4545,0.07575,0.8977,0.149616667,0.53025,0.53025
NZ_CP025851,Bacteria,Escherichia coli strain 510016,7,0.4545,0.07575,0.4545,0.07575,0.53025,0.53025
NZ_CP047010,Bacteria,Escherichia coli strain 19-5,7,0.4546,0.075766667,0.965,0.160833333,0.530366667,0.530366667
NZ_CP034738,Bacteria,Escherichia coli strain L65,7,0.4546,0.075766667,0.4546,0.075766667,0.530366667,0.530366667
NZ_OW968111,Bacteria,Escherichia coli isolate 602,7,0.4546,0.075766667,0.8939,0.148983333,0.530366667,0.530366667
NZ_CP069709,Bacteria,Escherichia coli strain EA7,7,0.4546,0.075766667,0.8888,0.148133333,0.530366667,0.530366667
NZ_CP028752,Bacteria,Escherichia coli strain A23,7,0.4546,0.075766667,0.8863,0.147716667,0.530366667,0.530366667
NZ_CP026786,Bacteria,Shigella dysenteriae strain NCTC 9718,7,0.4546,0.075766667,0.4546,0.075766667,0.530366667,0.530366667
NZ_CP010178,Bacteria,Escherichia coli strain H15,7,0.4546,0.075766667,0.4546,0.075766667,0.530366667,0.530366667
NZ_CP010242,Bacteria,Escherichia coli strain S56,7,0.4547,0.075783333,0.8455,0.140916667,0.530483333,0.530483333
NC_015224,Bacteria,Yersinia enterocolitica subsp. palearctica 105.5R(r),7,0.4547,0.075783333,0.9097,0.151616667,0.530483333,0.530483333
NZ_CP058886,Bacteria,Shigella flexneri strain STLEFF_33,7,0.4547,0.075783333,0.8889,0.14815,0.530483333,0.530483333
NZ_CP058849,Bacteria,Shigella flexneri strain STLEFF_36,7,0.4547,0.075783333,0.8889,0.14815,0.530483333,0.530483333
NZ_CP080075,Bacteria,Escherichia coli strain 19SZHZ663Rt,7,0.4547,0.075783333,0.8867,0.147783333,0.530483333,0.530483333
NZ_CP042941,Bacteria,Atlantibacter hermannii strain ATCC 33651,7,0.4547,0.075783333,0.4547,0.075783333,0.530483333,0.530483333
NZ_CP034784,Bacteria,Escherichia coli strain ECZP248,7,0.4547,0.075783333,0.8842,0.147366667,0.530483333,0.530483333
NZ_CP029057,Bacteria,Escherichia coli strain FORC_081,7,0.4548,0.0758,0.4548,0.0758,0.5306,0.5306
NZ_CP024257,Bacteria,Escherichia coli O25:H16 strain F5505-C1,7,0.4548,0.0758,0.9728,0.162133333,0.5306,0.5306
NZ_CP065358,Bacteria,Kosakonia oryzae strain IAC-BECa90,7,0.4548,0.0758,0.9052,0.150866667,0.5306,0.5306
NZ_CP055184,Bacteria,Shigella flexneri strain STEFF_16,7,0.4548,0.0758,0.8932,0.148866667,0.5306,0.5306
NC_004337,Bacteria,Shigella flexneri 2a str. 301,7,0.4548,0.0758,0.8709,0.14515,0.5306,0.5306
NZ_CP042980,Bacteria,Shigella flexneri Y strain PE577,7,0.4548,0.0758,0.87,0.145,0.5306,0.5306
NZ_LR883012,Bacteria,Escherichia coli isolate L4_E1441_ETEC,7,0.4548,0.0758,0.8881,0.148016667,0.5306,0.5306
NZ_CP067265,Bacteria,Escherichia coli strain ABW_S38,7,0.4548,0.0758,0.4548,0.0758,0.5306,0.5306
NZ_CP070134,Bacteria,Escherichia coli strain FDAARGOS_1281,7,0.4549,0.075816667,0.4549,0.075816667,0.530716667,0.530716667
NZ_CP052877,Bacteria,Escherichia coli strain C21,7,0.4549,0.075816667,0.8937,0.14895,0.530716667,0.530716667
NZ_AP022105,Bacteria,Escherichia coli strain WP5-S17-ESBL-10,7,0.4549,0.075816667,0.8927,0.148783333,0.530716667,0.530716667
NZ_CP095088,Bacteria,Escherichia coli isolate w264,7,0.4549,0.075816667,0.8837,0.147283333,0.530716667,0.530716667
NZ_LR882990,Bacteria,Escherichia coli isolate L7_E1373_ETEC,7,0.4549,0.075816667,0.8825,0.147083333,0.530716667,0.530716667
NZ_LR890508,Bacteria,Escherichia coli isolate MSB1_9I-sc-2280417,7,0.4549,0.075816667,0.4549,0.075816667,0.530716667,0.530716667
NZ_CP017662,Bacteria,Cronobacter sp. JZ38,7,0.455,0.075833333,0.9776,0.162933333,0.530833333,0.530833333
NZ_LR213455,Bacteria,Shigella flexneri strain AUSMDU00008332 isolate AUSMDU00008332,7,0.455,0.075833333,0.9339,0.15565,0.530833333,0.530833333
NZ_CP027371,Bacteria,Escherichia coli strain 2015C-3905,7,0.455,0.075833333,0.8703,0.14505,0.530833333,0.530833333
NZ_CP019250,Bacteria,Escherichia coli strain 13KWH46,7,0.455,0.075833333,0.8645,0.144083333,0.530833333,0.530833333
NZ_CP027454,Bacteria,Escherichia coli strain 2014C-4423,7,0.455,0.075833333,0.8336,0.138933333,0.530833333,0.530833333
NZ_CP022279,Bacteria,Escherichia coli strain STEC299,7,0.455,0.075833333,0.8928,0.1488,0.530833333,0.530833333
NZ_CP072453,Bacteria,Providencia sp. R33,7,0.4551,0.07585,0.8995,0.149916667,0.53095,0.53095
NZ_CP033884,Bacteria,Escherichia coli strain 50579417,7,0.4551,0.07585,0.4551,0.07585,0.53095,0.53095
NZ_CP053723,Bacteria,Escherichia coli strain CP66-6_Sichuan,7,0.4551,0.07585,0.8884,0.148066667,0.53095,0.53095
NZ_CP068283,Bacteria,Escherichia coli strain CY598,7,0.4552,0.075866667,0.86,0.143333333,0.531066667,0.531066667
NC_004741,Bacteria,Shigella flexneri 2a str. 2457T,7,0.4552,0.075866667,0.7841,0.130683333,0.531066667,0.531066667
NZ_LR134226,Bacteria,Escherichia coli strain NCTC9088,7,0.4552,0.075866667,0.8918,0.148633333,0.531066667,0.531066667
NZ_AP023427,Bacteria,Escherichia coli strain HUE1,7,0.4552,0.075866667,0.8818,0.146966667,0.531066667,0.531066667
NZ_CP070103,Bacteria,Escherichia coli strain FDAARGOS_1277,7,0.4552,0.075866667,0.4552,0.075866667,0.531066667,0.531066667
NZ_CP047455,Bacteria,Escherichia coli strain ZF31,7,0.4552,0.075866667,0.4552,0.075866667,0.531066667,0.531066667
NZ_CP023962,Bacteria,Yersinia frederiksenii strain FDAARGOS_417,7,0.4553,0.075883333,0.8365,0.139416667,0.531183333,0.531183333
NZ_CP035034,Bacteria,Pantoea ananatis strain NN08200,7,0.4553,0.075883333,0.9504,0.1584,0.531183333,0.531183333
NZ_CP026784,Bacteria,Shigella dysenteriae strain 80-547,7,0.4553,0.075883333,0.7994,0.133233333,0.531183333,0.531183333
NZ_CP047461,Bacteria,Escherichia coli strain ZF34,7,0.4553,0.075883333,0.4553,0.075883333,0.531183333,0.531183333
NZ_CP011427,Bacteria,Pantoea vagans strain ND02,7,0.4554,0.0759,0.9415,0.156916667,0.5313,0.5313
NZ_CP069677,Bacteria,Escherichia coli O126:H45 strain MIN10,7,0.4554,0.0759,0.8995,0.149916667,0.5313,0.5313
NZ_CP022135,Bacteria,Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251,7,0.4554,0.0759,0.8989,0.149816667,0.5313,0.5313
NZ_CP009166,Bacteria,Escherichia coli 1303,7,0.4554,0.0759,0.8616,0.1436,0.5313,0.5313
NZ_CP024830,Bacteria,Escherichia coli strain CREC-532,7,0.4554,0.0759,0.8399,0.139983333,0.5313,0.5313
NZ_CP077649,Bacteria,Escherichia coli strain ST865,7,0.4554,0.0759,0.4554,0.0759,0.5313,0.5313
NZ_CP077646,Bacteria,Escherichia coli strain ST866,7,0.4554,0.0759,0.4554,0.0759,0.5313,0.5313
NZ_CP075627,Bacteria,Escherichia coli strain P15-385,7,0.4555,0.075916667,0.9661,0.161016667,0.531416667,0.531416667
NZ_AP024130,Bacteria,Escherichia coli strain SI-NP020,7,0.4555,0.075916667,0.8978,0.149633333,0.531416667,0.531416667
NZ_OW969711,Bacteria,Citrobacter koseri isolate 0,7,0.4555,0.075916667,0.8943,0.14905,0.531416667,0.531416667
NZ_CP024273,Bacteria,Escherichia coli strain F9792,7,0.4555,0.075916667,0.8638,0.143966667,0.531416667,0.531416667
NZ_CP024815,Bacteria,Escherichia coli strain CREC-629,7,0.4555,0.075916667,0.8603,0.143383333,0.531416667,0.531416667
NZ_CP007448,Bacteria,Yersinia hibernica strain LC20,7,0.4556,0.075933333,0.9063,0.15105,0.531533333,0.531533333
NZ_AP021914,Bacteria,Escherichia coli strain WP2-W18-CRE-03,7,0.4556,0.075933333,0.8937,0.14895,0.531533333,0.531533333
NZ_CP085183,Bacteria,Escherichia coli strain EC7518,7,0.4556,0.075933333,0.8919,0.14865,0.531533333,0.531533333
NZ_CP060938,Bacteria,Escherichia coli strain EC11,7,0.4556,0.075933333,0.8615,0.143583333,0.531533333,0.531533333
NZ_LT601384,Bacteria,Escherichia coli isolate NCTC86EC,7,0.4556,0.075933333,0.8517,0.14195,0.531533333,0.531533333
NZ_LR130532,Bacteria,Escherichia coli isolate ecoli019,7,0.4557,0.07595,0.9689,0.161483333,0.53165,0.53165
NZ_CP068806,Bacteria,Escherichia coli strain RIVM_C018576,7,0.4557,0.07595,0.9669,0.16115,0.53165,0.53165
NZ_CP031912,Bacteria,Escherichia coli O111:NM strain FWSEC0005,7,0.4557,0.07595,0.8989,0.149816667,0.53165,0.53165
NZ_CP075062,Bacteria,Escherichia coli strain EC_J_9,7,0.4557,0.07595,0.895,0.149166667,0.53165,0.53165
NZ_CP063341,Bacteria,Escherichia coli strain BS90R-A,7,0.4557,0.07595,0.8906,0.148433333,0.53165,0.53165
NZ_CP026377,Bacteria,Mixta gaviniae strain DSM 22758,7,0.4557,0.07595,0.8846,0.147433333,0.53165,0.53165
NZ_LN890518,Bacteria,Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5462388,7,0.4557,0.07595,0.8485,0.141416667,0.53165,0.53165
NZ_CP026755,Bacteria,Escherichia coli strain AR_0077,7,0.4557,0.07595,0.4557,0.07595,0.53165,0.53165
NZ_CP016945,Bacteria,Yersinia enterocolitica strain YE1,7,0.4558,0.075966667,0.9734,0.162233333,0.531766667,0.531766667
NZ_CP075480,Bacteria,Escherichia coli strain NT1N31,7,0.4558,0.075966667,0.8906,0.148433333,0.531766667,0.531766667
NZ_CP071521,Bacteria,Escherichia coli strain 11202,7,0.4558,0.075966667,0.8903,0.148383333,0.531766667,0.531766667
NZ_CP025903,Bacteria,Escherichia coli strain 300709,7,0.4558,0.075966667,0.8568,0.1428,0.531766667,0.531766667
NZ_CP034399,Bacteria,Escherichia coli strain CRE1,7,0.4558,0.075966667,0.4558,0.075966667,0.531766667,0.531766667
NZ_CP021732,Bacteria,Escherichia coli strain AR_0114,7,0.4558,0.075966667,0.4558,0.075966667,0.531766667,0.531766667
NZ_CP024263,Bacteria,Escherichia coli O169:H41 strain F6326-C1,7,0.4558,0.075966667,0.4558,0.075966667,0.531766667,0.531766667
NZ_CP010238,Bacteria,Escherichia coli strain S50,7,0.4558,0.075966667,0.4558,0.075966667,0.531766667,0.531766667
NZ_CP016176,Bacteria,Xenorhabdus hominickii strain ANU1,7,0.4558,0.075966667,0.4558,0.075966667,0.531766667,0.531766667
NZ_CP020516,Bacteria,Escherichia coli strain 222,7,0.4559,0.075983333,0.8946,0.1491,0.531883333,0.531883333
NZ_CP020495,Bacteria,Escherichia coli strain 103,7,0.4559,0.075983333,0.8946,0.1491,0.531883333,0.531883333
NZ_CP075465,Bacteria,Escherichia coli strain NT1N34,7,0.4559,0.075983333,0.8905,0.148416667,0.531883333,0.531883333
NZ_AP023219,Bacteria,Escherichia coli strain M505,7,0.4559,0.075983333,0.859,0.143166667,0.531883333,0.531883333
NZ_CP016944,Bacteria,Yersinia enterocolitica strain YE3,7,0.456,0.076,0.9734,0.162233333,0.532,0.532
NZ_CP097380,Bacteria,Providencia stuartii strain P14,7,0.456,0.076,0.9419,0.156983333,0.532,0.532
NZ_CP019944,Bacteria,Escherichia coli strain DSM 103246,7,0.456,0.076,0.8985,0.14975,0.532,0.532
NZ_CP042903,Bacteria,Escherichia coli strain CFSAN061761,7,0.456,0.076,0.8952,0.1492,0.532,0.532
NZ_CP062203,Bacteria,Escherichia coli strain K_EC180,7,0.456,0.076,0.8943,0.14905,0.532,0.532
NZ_CP029327,Bacteria,Escherichia coli strain A37,7,0.456,0.076,0.894,0.149,0.532,0.532
NZ_CP024141,Bacteria,Escherichia coli strain 14EC029,7,0.456,0.076,0.8881,0.148016667,0.532,0.532
NZ_CP091022,Bacteria,Escherichia coli strain STEC276,7,0.456,0.076,0.8851,0.147516667,0.532,0.532
NZ_CP030281,Bacteria,Escherichia coli strain E308,7,0.456,0.076,0.8839,0.147316667,0.532,0.532
NZ_CP021339,Bacteria,Escherichia coli strain 95NR1,7,0.456,0.076,0.8425,0.140416667,0.532,0.532
NZ_CP032204,Bacteria,Escherichia coli strain AR_0013,7,0.456,0.076,0.456,0.076,0.532,0.532
NZ_CP035841,Bacteria,Escherichia coli strain TW10722,7,0.456,0.076,0.456,0.076,0.532,0.532
NZ_CP031898,Bacteria,Escherichia coli O113:H21 strain FWSEC0010,7,0.4561,0.076016667,0.8969,0.149483333,0.532116667,0.532116667
NZ_CP030331,Bacteria,Escherichia coli strain AR_452,7,0.4561,0.076016667,0.895,0.149166667,0.532116667,0.532116667
NZ_LR782232,Bacteria,Escherichia coli isolate SC467,7,0.4561,0.076016667,0.9702,0.1617,0.532116667,0.532116667
NZ_CP055099,Bacteria,Shigella flexneri strain SWHIN_107,7,0.4562,0.076033333,0.8932,0.148866667,0.532233333,0.532233333
NZ_CP035312,Bacteria,Escherichia coli strain D72,7,0.4562,0.076033333,0.8867,0.147783333,0.532233333,0.532233333
NZ_CP081713,Bacteria,Escherichia coli strain CX04,7,0.4562,0.076033333,0.8828,0.147133333,0.532233333,0.532233333
NZ_CP081719,Bacteria,Escherichia coli strain CX05,7,0.4562,0.076033333,0.8828,0.147133333,0.532233333,0.532233333
NZ_CP081724,Bacteria,Escherichia coli strain CX07,7,0.4562,0.076033333,0.8828,0.147133333,0.532233333,0.532233333
NZ_CP081742,Bacteria,Escherichia coli strain CX15,7,0.4562,0.076033333,0.8828,0.147133333,0.532233333,0.532233333
NZ_LR213452,Bacteria,Shigella flexneri strain AUSMDU00008355 isolate AUSMDU00008355,7,0.4562,0.076033333,0.8778,0.1463,0.532233333,0.532233333
NZ_CP091691,Bacteria,Escherichia coli strain KMi006,7,0.4562,0.076033333,0.8401,0.140016667,0.532233333,0.532233333
NZ_CP074140,Bacteria,Serratia sp. JSRIV004,7,0.4562,0.076033333,0.9248,0.154133333,0.532233333,0.532233333
NZ_CP084026,Bacteria,Escherichia coli strain 035053C1pKPC2_Vir_090515B1,7,0.4563,0.07605,0.9208,0.153466667,0.53235,0.53235
NZ_CP044315,Bacteria,Escherichia coli strain SJ7,7,0.4563,0.07605,0.8884,0.148066667,0.53235,0.53235
NZ_CP068825,Bacteria,Escherichia coli strain RIVM_C030256,7,0.4563,0.07605,0.9669,0.16115,0.53235,0.53235
NC_020260,Bacteria,Cronobacter sakazakii SP291,7,0.4563,0.07605,0.9134,0.152233333,0.53235,0.53235
NZ_CP053259,Bacteria,Escherichia coli strain GF3-3,7,0.4563,0.07605,0.8892,0.1482,0.53235,0.53235
NZ_LT883142,Bacteria,Escherichia coli isolate 6666666.257727.embl,7,0.4563,0.07605,0.8847,0.14745,0.53235,0.53235
NZ_CP048310,Bacteria,Escherichia coli strain 32-4,7,0.4563,0.07605,0.8823,0.14705,0.53235,0.53235
NZ_CP027701,Bacteria,Escherichia coli strain 675SK2,7,0.4564,0.076066667,0.8932,0.148866667,0.532466667,0.532466667
NZ_CP029492,Bacteria,Escherichia coli strain HS30-1,7,0.4564,0.076066667,0.8875,0.147916667,0.532466667,0.532466667
NZ_CP027789,Bacteria,Bacillus licheniformis strain TAB7,7,0.4564,0.076066667,0.7494,0.1249,0.532466667,0.532466667
NZ_CP016935,Bacteria,Yersinia enterocolitica strain YE7,7,0.4564,0.076066667,0.9734,0.162233333,0.532466667,0.532466667
NZ_CP034595,Bacteria,Escherichia coli strain WCHEC035053S1G0,7,0.4564,0.076066667,0.9207,0.15345,0.532466667,0.532466667
NZ_LR025096,Bacteria,Escherichia coli isolate EC-7215,7,0.4564,0.076066667,0.8911,0.148516667,0.532466667,0.532466667
NZ_CP027397,Bacteria,Yersinia intermedia strain FDAARGOS_358,7,0.4564,0.076066667,0.4564,0.076066667,0.532466667,0.532466667
NZ_CP047277,Bacteria,Escherichia coli strain N18-04097,7,0.4565,0.076083333,0.8923,0.148716667,0.532583333,0.532583333
NZ_CP054157,Bacteria,Proteus vulgaris strain HH17,7,0.4565,0.076083333,0.8476,0.141266667,0.532583333,0.532583333
NZ_CP072322,Bacteria,Escherichia coli strain EC-JS426,7,0.4565,0.076083333,0.4565,0.076083333,0.532583333,0.532583333
NZ_CP020409,Bacteria,Yersinia sp. FDAARGOS_228,7,0.4566,0.0761,0.8468,0.141133333,0.5327,0.5327
NZ_CP059723,Bacteria,Escherichia coli strain BUCT2930,7,0.4566,0.0761,0.4566,0.0761,0.5327,0.5327
NZ_LR882978,Bacteria,Escherichia coli isolate L3_CS7_E2980,7,0.4566,0.0761,0.8966,0.149433333,0.5327,0.5327
NZ_LR134075,Bacteria,Escherichia coli strain NCTC9084,7,0.4566,0.0761,0.8849,0.147483333,0.5327,0.5327
NZ_CP020543,Bacteria,Escherichia coli C,7,0.4566,0.0761,0.8834,0.147233333,0.5327,0.5327
NZ_CP068802,Bacteria,Escherichia coli strain RIVM_C018249,7,0.4566,0.0761,0.4566,0.0761,0.5327,0.5327
NZ_CP051488,Bacteria,Kosakonia sp. SMBL-WEM22,7,0.4566,0.0761,0.7918,0.131966667,0.5327,0.5327
NZ_CP034404,Bacteria,Escherichia coli strain CRE10,7,0.4567,0.076116667,0.4567,0.076116667,0.532816667,0.532816667
NZ_CP058207,Bacteria,Escherichia marmotae strain RHB42-C09,7,0.4567,0.076116667,0.9438,0.1573,0.532816667,0.532816667
NZ_AP022107,Bacteria,Escherichia coli strain WP5-S17-ESBL-11,7,0.4567,0.076116667,0.8928,0.1488,0.532816667,0.532816667
NZ_CP037910,Bacteria,Escherichia coli strain YSP8-1,7,0.4567,0.076116667,0.8838,0.1473,0.532816667,0.532816667
NZ_CP023529,Bacteria,Lelliottia amnigena strain FDAARGOS_395,7,0.4567,0.076116667,0.4567,0.076116667,0.532816667,0.532816667
NZ_CP032879,Bacteria,Escherichia coli strain WCHEC000837,7,0.4567,0.076116667,0.4567,0.076116667,0.532816667,0.532816667
NZ_CP028702,Bacteria,Escherichia coli strain J53,7,0.4568,0.076133333,0.8549,0.142483333,0.532933333,0.532933333
NZ_CP018995,Bacteria,Escherichia coli strain Ecol_AZ147,7,0.4568,0.076133333,0.8523,0.14205,0.532933333,0.532933333
NZ_AP021892,Bacteria,Escherichia coli strain 2018-01-1CC,7,0.4568,0.076133333,0.4568,0.076133333,0.532933333,0.532933333
NZ_CP010117,Bacteria,Escherichia coli strain C2,7,0.4568,0.076133333,0.4568,0.076133333,0.532933333,0.532933333
NZ_CP071073,Bacteria,Escherichia coli strain 3347558,7,0.4568,0.076133333,0.9674,0.161233333,0.532933333,0.532933333
NZ_CP042867,Bacteria,Escherichia coli strain ATCC BAA-196,7,0.4568,0.076133333,0.8898,0.1483,0.532933333,0.532933333
NZ_CP068706,Bacteria,Escherichia coli strain J53-p1-pV-hybrid-1,7,0.4569,0.07615,0.9206,0.153433333,0.53305,0.53305
NZ_CP028767,Bacteria,Escherichia coli strain A7,7,0.4569,0.07615,0.8957,0.149283333,0.53305,0.53305
NZ_CP045277,Bacteria,Escherichia coli strain LAU-OXA,7,0.4569,0.07615,0.8907,0.14845,0.53305,0.53305
NZ_CP042865,Bacteria,Escherichia coli strain ATCC BAA-196,7,0.4569,0.07615,0.8898,0.1483,0.53305,0.53305
NZ_CP058948,Bacteria,Escherichia coli strain SY3626C5,7,0.4569,0.07615,0.8546,0.142433333,0.53305,0.53305
NZ_CP059043,Bacteria,Escherichia coli strain SY3626C1,7,0.4569,0.07615,0.8546,0.142433333,0.53305,0.53305
NZ_CP083478,Bacteria,Escherichia coli strain elppa10,7,0.4569,0.07615,0.4569,0.07615,0.53305,0.53305
NZ_CP010231,Bacteria,Escherichia coli strain S30,7,0.4569,0.07615,0.4569,0.07615,0.53305,0.53305
NZ_CP018206,Bacteria,Escherichia coli strain MRSN346647,7,0.457,0.076166667,0.968,0.161333333,0.533166667,0.533166667
NZ_CP019051,Bacteria,Escherichia coli strain CRE1540,7,0.457,0.076166667,0.457,0.076166667,0.533166667,0.533166667
NZ_CP063473,Bacteria,Escherichia coli strain EM18-18-42,7,0.457,0.076166667,0.9761,0.162683333,0.533166667,0.533166667
NZ_CP021722,Bacteria,Escherichia coli strain AR_0128,7,0.457,0.076166667,0.9657,0.16095,0.533166667,0.533166667
NZ_CP028384,Bacteria,Providencia heimbachae strain 99101,7,0.457,0.076166667,0.9403,0.156716667,0.533166667,0.533166667
NZ_LR130564,Bacteria,Escherichia coli strain MS14387 isolate MS14387,7,0.457,0.076166667,0.8915,0.148583333,0.533166667,0.533166667
NZ_CP053247,Bacteria,Escherichia coli strain SCU-482,7,0.457,0.076166667,0.457,0.076166667,0.533166667,0.533166667
NZ_CP069893,Bacteria,Escherichia coli strain FDAARGOS_1286,7,0.457,0.076166667,0.457,0.076166667,0.533166667,0.533166667
NZ_CP087578,Bacteria,Escherichia coli strain OSUCMP42NDM,7,0.4571,0.076183333,0.9408,0.1568,0.533283333,0.533283333
NZ_CP070902,Bacteria,Escherichia coli strain 99COLEC,7,0.4571,0.076183333,0.8884,0.148066667,0.533283333,0.533283333
NZ_CP091997,Bacteria,Salmonella enterica subsp. enterica serovar Kentucky strain N20-2289,7,0.4571,0.076183333,0.871,0.145166667,0.533283333,0.533283333
NZ_CP078110,Bacteria,Cronobacter sakazakii strain MOD1-H322,7,0.4571,0.076183333,0.9911,0.165183333,0.533283333,0.533283333
NZ_CP055000,Bacteria,Shigella flexneri strain STIN_80,7,0.4571,0.076183333,0.8887,0.148116667,0.533283333,0.533283333
NZ_CP007594,Bacteria,Escherichia coli strain SEC470,7,0.4571,0.076183333,0.8544,0.1424,0.533283333,0.533283333
NC_017633,Bacteria,Escherichia coli ETEC H10407,7,0.4571,0.076183333,0.8544,0.1424,0.533283333,0.533283333
NZ_CP055259,Bacteria,Escherichia coli strain AH62,7,0.4572,0.0762,0.891,0.1485,0.5334,0.5334
NZ_CP068281,Bacteria,Escherichia coli strain CY706,7,0.4572,0.0762,0.8487,0.14145,0.5334,0.5334
NZ_CP044293,Bacteria,Escherichia coli strain P276M,7,0.4572,0.0762,0.4572,0.0762,0.5334,0.5334
NZ_CP093376,Bacteria,Cronobacter sakazakii strain 70402496,7,0.4572,0.0762,0.9083,0.151383333,0.5334,0.5334
NZ_AP023433,Bacteria,Escherichia coli strain M719,7,0.4572,0.0762,0.8938,0.148966667,0.5334,0.5334
NZ_CP041435,Bacteria,Escherichia coli strain STEC309,7,0.4572,0.0762,0.8936,0.148933333,0.5334,0.5334
NZ_CP058874,Bacteria,Escherichia coli strain STLEFF_47,7,0.4572,0.0762,0.8768,0.146133333,0.5334,0.5334
NZ_CP043487,Bacteria,Escherichia coli strain AQ15,7,0.4572,0.0762,0.8701,0.145016667,0.5334,0.5334
NZ_CP014348,Bacteria,Escherichia coli str. K-12 substr. MG1655 strain JW5437-1,7,0.4572,0.0762,0.4572,0.0762,0.5334,0.5334
NZ_CP069501,Bacteria,Escherichia coli strain FDAARGOS_1268,7,0.4573,0.076216667,0.9773,0.162883333,0.533516667,0.533516667
NZ_CP077388,Bacteria,Providencia rettgeri strain FDAARGOS 1451,7,0.4573,0.076216667,0.4573,0.076216667,0.533516667,0.533516667
